retention_factor,Retention Description,usda_rf_calcium,usda_rf_iron,usda_rf_magnesium,usda_rf_phosphorus,usda_rf_potassium,usda_rf_sodium,usda_rf_zinc,usda_rf_copper,usda_rf_vitc,usda_rf_vitb1,usda_rf_vitb2,usda_rf_vitb3,usda_rf_vitb6,usda_rf_folate_food,usda_rf_vitb9,usda_rf_folate_total,usda_rf_choline,usda_rf_vitb12,usda_rf_vita_iu,usda_rf_vita_re,usda_rf_alcohol,usda_rf_carotene_beta,usda_rf_carotene_alpha,usda_rf_cryptoxanthin,usda_rf_lycopene,usda_rf_lutein
1707,"SAUSAGE,RAW,PORK,OTHER,BROILED",85,65,75,75,85,75,75,95,50,65,75,75,60,30,30,30,95,70,75,75,100,75,75,75,75,75
1709,"SAUSAGE,RAW,PORK,OTHER,SAUTEED",85,65,75,75,85,75,75,95,50,65,75,75,60,30,30,30,95,70,75,75,100,75,75,75,75,75
1712,"SAUSAGE,REHEATED",100,100,100,100,100,100,100,100,95,95,100,100,95,95,95,95,95,95,100,100,100,100,100,100,100,100
3001,"VEG,GREENS,BAKED",100,100,100,100,100,100,100,100,70,90,95,95,95,75,75,75,100,100,95,95,100,95,95,95,95,95
3004,"VEG,GREENS,BOILD,LITTLE WATER DRAIN",95,95,95,90,90,95,95,95,60,85,95,90,90,65,65,65,100,100,95,95,100,95,95,95,95,95
3005,"VEG,GREENS,BOILED,WATER COVER DRAIN",95,95,95,85,85,95,95,95,55,80,90,85,85,60,60,60,100,100,95,95,100,95,95,95,95,95
3006,"VEG,GREENS,BOILED,WATER USED",100,100,100,100,100,100,100,100,70,90,95,95,95,75,75,75,100,100,95,95,100,95,95,95,95,95
3015,"VEG,GREENS,STIR FRY",100,100,100,100,100,100,100,100,85,90,95,95,95,85,85,85,100,100,90,90,100,90,90,90,90,90
3018,"VEG,GREENS,REHEATED",100,100,100,100,100,100,100,100,95,100,100,100,100,95,95,95,100,100,100,100,100,100,100,100,100,100
3019,"VEG,GREENS,COOKED FROM FROZEN,DRAIN",100,100,100,100,100,100,100,100,60,90,95,90,90,55,55,55,100,100,95,95,100,95,95,95,95,95
3301,"POTATOES,BAKED IN SKIN",100,100,100,100,100,100,100,100,80,85,95,95,95,90,90,90,100,100,100,100,100,100,100,100,100,100
3302,"POTATOES,BAKED IN CASSEROLE",100,100,100,100,100,100,100,100,80,80,95,95,95,75,75,75,100,100,100,100,100,100,100,100,100,100
3307,"POTATOES,BOILED IN SKIN",95,95,95,95,90,95,95,95,75,80,95,95,95,90,90,90,100,100,100,100,100,100,100,100,100,100
3308,"POTATOES,BOILED(PARED)DRAIN",95,95,95,95,90,95,95,95,75,80,95,95,95,75,75,75,100,100,100,100,100,100,100,100,100,100
3309,"POTATOES,BOILED(PARED) WATER USED",100,100,100,100,100,100,100,100,80,80,95,95,95,90,90,90,100,100,100,100,100,100,100,100,100,100
3310,"POTATOES,BOILED,BROWNED",95,95,95,95,90,95,95,95,60,65,90,90,90,65,65,65,100,100,100,100,100,100,100,100,100,100
3311,"POTATOES,BOILED,STORED,BROWNED",95,95,95,95,90,95,95,95,25,40,85,80,90,65,65,65,100,100,100,100,100,100,100,100,100,100
3315,"POTATOES,FRIED",100,100,100,100,100,100,100,100,80,80,95,95,95,75,75,75,95,100,100,100,100,100,100,100,100,100
3316,"POTATOES,MASHED",95,95,95,95,90,95,95,95,75,80,95,95,95,75,75,75,100,100,100,100,100,100,100,100,100,100
3371,"POTATOES,CANNED,BOILED,WATER USED",100,100,100,100,100,100,100,100,85,90,100,100,100,95,95,95,100,100,100,100,100,100,100,100,100,100
3373,"POTATOES,CANNED,BROILED",100,100,100,100,100,100,100,100,85,90,100,100,100,95,95,95,100,100,100,100,100,100,100,100,100,100
3375,"POTATOES,CANNED,FRIED",100,100,100,100,100,100,100,100,85,90,100,100,100,95,95,95,95,100,100,100,100,100,100,100,100,100
3379,"POTATOES,REHEATED",100,100,100,100,100,100,100,100,95,95,100,100,100,95,95,95,100,100,100,100,100,100,100,100,100,100
3380,"POTATOES,CKD FROM FRZN,HASH BROWN",100,100,100,100,100,100,100,100,50,75,95,95,95,60,60,60,95,100,100,100,100,100,100,100,100,100
3381,"POTATOES,CKD FROM FRZN,FRENCH FRY",100,100,100,100,100,100,100,100,80,85,95,95,95,80,80,80,95,100,100,100,100,100,100,100,100,100
3382,"POTATOES,CKD FROM FRZN,BAKED STUFFD",100,100,100,100,100,100,100,100,80,80,95,95,95,80,80,80,95,100,100,100,100,100,100,100,100,100
3451,"VEG,ROOTS,ETC,BAKED",100,100,100,100,100,100,100,100,75,90,95,95,95,80,80,80,100,100,95,95,100,95,95,95,95,95
3454,"VEG,ROOTS,ETC,BLD,DRAIND,LITTLE WTR",95,95,95,90,90,95,95,95,70,85,95,95,95,70,70,70,100,100,90,90,100,90,90,90,90,90
3455,"VEG,ROOTS,ETC,BLD,DRAIND,WTR COVER",95,95,95,90,90,95,95,95,65,80,90,90,90,65,65,65,100,100,90,90,100,90,90,90,90,90
3456,"VEG,ROOTS,ETC,BOILED,WATER USED",100,100,100,100,100,100,100,100,75,90,95,95,95,80,80,80,100,100,90,90,100,90,90,90,90,90
3460,"VEG,ROOTS,ETC,SAUTEED",100,100,100,100,100,100,100,100,75,85,95,95,95,70,70,70,100,100,85,85,100,85,85,85,85,85
3464,"VEG,ROOTS,ETC,STEAMED",100,100,100,100,100,100,100,100,75,90,95,95,95,80,80,80,100,100,90,90,100,90,90,90,90,90
3465,"VEG,ROOTS,ETC,STIR FRY",100,100,100,100,100,100,100,100,80,90,95,95,95,80,80,80,100,100,90,90,100,90,90,90,90,90
3468,"VEG,ROOTS,ETC,REHEATED",100,100,100,100,100,100,100,100,95,95,100,100,100,95,95,95,100,100,100,100,100,100,100,100,100,100
3469,"VEG,ROOTS,ETC,CKD FROM FRZN,DRAINED",95,95,95,90,90,95,95,95,70,90,95,95,95,70,70,70,100,100,90,90,100,90,90,90,90,90
3701,"SWEETPOTAOTES,BAKED IN SKIN",100,100,100,100,100,100,100,100,80,85,95,95,95,90,90,90,100,100,90,90,100,90,90,90,90,90
3702,"SWEETPOTATOES, BAKED IN CASSEROLE",100,100,100,100,100,100,100,100,80,80,95,95,95,75,75,75,100,100,90,90,100,90,90,90,90,90
3707,"SWEETPOTATOES,BOILED IN SKIN",95,95,95,95,90,95,95,95,75,80,95,95,95,90,90,90,100,100,85,85,100,85,85,85,85,85
3708,"SWEETPOTATOES,BOILED (PARED)DRAINED",95,95,95,95,90,95,95,95,75,80,95,95,95,75,75,75,100,100,85,85,100,85,85,85,85,85
3709,"SWEETPOTATOES,BLD(PARED)WATER USED",100,100,100,100,100,100,100,100,80,85,95,95,95,90,90,90,100,100,95,95,100,95,95,95,95,95
3710,"SWEETPOTATOES,FRIED",100,100,100,100,100,100,100,100,80,80,95,95,95,75,75,75,95,100,80,80,100,80,80,80,80,80
3711,"SWEETPOTATOES,REHEATED",100,100,100,100,100,100,100,100,95,95,100,100,100,95,95,95,100,100,100,100,100,100,100,100,100,100
3712,"SWEETPOTATOES,CKD FROM FRN,BAKED",100,100,100,100,100,100,100,100,80,80,95,95,95,80,80,80,100,100,90,90,100,90,90,90,90,90
3713,"SWEETPOTATOES,CKD FROM FRZN,BOILED",95,95,95,95,95,95,95,95,75,80,95,95,95,80,80,80,100,100,85,85,100,85,85,85,85,85
3751,"TOMATOES,BOILED/BAKED",100,100,100,100,100,100,100,100,95,95,95,95,95,70,70,70,90,100,95,95,100,95,95,95,95,95
3752,"TOMATOES,FRIED/BROILED",100,100,100,100,100,100,100,100,95,95,95,95,95,70,70,70,90,100,90,90,100,90,90,90,90,90
3754,"TOMATOES,REHEATED",100,100,100,100,100,100,100,100,100,100,100,100,100,95,95,95,95,100,100,100,100,100,100,100,100,100
