Food items,Units,Units,Remarks,Source,,,,,,,,,
Sugar,1cup,200g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169655/measures,,,,,,,,,
Powdered sugar,1cup,160g,,BFP book,,,,,,,,,
Honey,1cup,339g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/169640/measures,,,,,,,,,
,,,,,,,,,,,,,
Mayonnaise,1cup,220g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171009/measures,,,,,,,,,
"Margarine, regular, 80% fat",1cup,227g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/172349/measures,,,,,,,,,
Cheese (general),1cup,132g,,USDA (https://courses.washington.edu/bonephys/calist.pdf),,,,,,,,,
"Cheese, processed, plain",1cup,240g,"used the one for 'Cheese spread, cream cheese, regular'",https://fdc.nal.usda.gov/fdc-app.html#/food-details/1097906/portions,,,,,,,,,
"Cheese, feta",1cup,150g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173420/measures,,,,,,,,,
"Cheese, cheddar",1cup,132g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173414/measures,,,,,,,,,
"Cheese spread, cream cheese, regular",1cup,240g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1098072/portions,,,,,,,,,
Cottage cheese (large curd),1cup,210g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/172179/measures,,,,,,,,,
Cottage cheese (small curd),1cup,225g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/172179/measures,,,,,,,,,
"Sour cream, regular",1cup,240g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/1097906/portions,,,,,,,,,
"Cream, heavy",1cup,240g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2340999/portions,,,,,,,,,
Whipping cream,1cup,120g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170859/measures,,,,,,,,,
"Yogurt, plain, whole milk",1cup,245g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/171284/measures,,,,,,,,,
Butter,1cup,227g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/173410/measures,,,,,,,,,
Paneer,1cup,246g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/2341143/portions,,,,,,,,,
"Milk, buttermilk, fluid, whole",1cup,245g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/172225/measures,,,,,,,,,
"Whey, acid, fluid",1cup,246g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/170885/measures,,,,,,,,,
,,,,,,,,,,,,,
"Ice creams, vanilla",0.5cup,66g,,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167575/measures,,,,,,,,,
